t,accCmpX,accCmpY,accCmpZ
495,3.8195,0.53955,-8.6264
496,5.03005,-0.12753,-12.211
497,6.28649,-0.12753,-13.4674
498,7.47651,-0.12753,-14.6574
499,-0.713293,-0.06867,-6.35972
500,-6.66086,-0.06867,-0.412148
501,-5.8214,-0.06867,-1.25161
502,-5.51096,0.24525,-0.993073
503,-6.93876,0.75537,-0.614943
504,-7.25402,0.75537,-0.299683
505,-6.47575,0.75537,-1.07795
506,-5.23176,-5.15165,-5.23496
507,-3.45451,0.55917,-1.83308
508,2.22613,-0.23544,-9.74059
509,8.00532,-0.23544,-15.5198
510,11.7227,-0.23544,-19.2372
511,12.3363,0.02943,-20.1058
512,11.492,0.02943,-19.2616
513,11.6536,0.47088,-18.1969
514,11.7444,0.47088,-18.2876
515,11.0691,0.5886,-17.4652
516,10.182,0.5886,-16.5781
517,9.10523,0.5886,-15.5014
518,4.69383,0.22563,-11.1684
519,-0.192007,0.22563,-6.28259
520,-4.39784,0.22563,-2.07676
521,-6.8081,0.43164,0.353124
522,-6.97449,0.43164,0.519507
523,-6.94777,0.14715,-0.242964
524,-4.54635,0.14715,-2.64438
525,-3.19807,5.51513e-311,-4.09076
526,-1.87649,9.66841e-311,-5.41234
527,-0.451006,9.14713e-311,-6.83782
528,-0.61361,0.22563,-6.43978
529,-0.717145,0.22563,-6.33624
530,6.50739,1.29283,-5.25405
531,11.5915,0.670076,-0.206714
532,11.7186,3.67162,-9.84692
533,11.0479,0.24525,-18.1896
534,10.0661,0.24525,-17.2078
535,7.33487,0.33354,-14.3098
536,4.04202,0.33354,-11.0169
537,4.32604,0.02943,-11.8994
538,4.60868,0.02943,-12.182
539,4.89009,0.02943,-12.4634
540,3.4843,0.08829,-10.1061
541,2.07703,0.08829,-8.69878
542,5.65773,0.07848,-12.7111
543,8.78653,0.07848,-15.8399
544,11.0974,0.07848,-18.1508
545,12.2822,0.07848,-19.3356
546,12.1815,0.07848,-19.2349
547,12.4085,0.25506,-18.8242
548,12.397,0.25506,-18.8127
549,12.1764,0.25506,-18.5921
550,11.7511,0.25506,-18.1669
