timestamp (ms),GPS_Lon,Cal_Lon
975609.8220214844,35.1497437,35.1506076
975709.8220214844,35.1497437,35.150633
975809.8220214844,35.1497437,35.1506584
975909.8220214844,35.1497437,35.1506838
976009.8220214844,35.1497437,35.1507092
976109.8220214844,35.1497437,35.1507346
976209.8220214844,35.1498308,35.1507573
976309.8220214844,35.1498308,35.1507826
976409.8220214844,35.1498308,35.1508079
976509.8220214844,35.1498308,35.1508332
976609.8220214844,35.1498308,35.1508585
976709.8220214844,35.1499178,35.1508812
976809.8220214844,35.1499178,35.1509065
976909.8220214844,35.1499615,35.1509291
977009.8220214844,35.1499615,35.1509545
977109.8220214844,35.1499615,35.1509799
977209.8220214844,35.1500052,35.1510026
977309.8220214844,35.1500052,35.151028
977409.8220214844,35.150049,35.1510508
977509.8220214844,35.150049,35.1510761
977609.8220214844,35.150049,35.1511014
977709.8220214844,35.1501365,35.151124
977809.8220214844,35.1501365,35.1511493
977909.8220214844,35.1501365,35.1511746
978009.8220214844,35.1501802,35.1511971
978109.8220214844,35.1501802,35.1512224
978209.8220214844,35.1502238,35.151245
978309.8220214844,35.1502238,35.1512703
978409.8220214844,35.1502238,35.1512956
978509.8220214844,35.1502674,35.1513181
978609.8220214844,35.1502674,35.1513433
978709.8220214844,35.1503545,35.1513659
978809.8220214844,35.1503545,35.1513911
978909.8220214844,35.1503545,35.1514163
979009.8220214844,35.150398,35.1514389
979109.8220214844,35.150398,35.151464
979209.8220214844,35.1504413,35.1514865
979309.8220214844,35.1504413,35.1515115
979409.8220214844,35.1504413,35.1515365
979509.8220214844,35.1504846,35.151559
979609.8220214844,35.1504846,35.1515841
979709.8220214844,35.1505713,35.1516065
979809.8220214844,35.1505713,35.1516316
979909.8220214844,35.1506146,35.151654
980009.8220214844,35.1506146,35.1516791
980109.8220214844,35.1506146,35.1517042
980209.8220214844,35.1506581,35.1517267
980309.8220214844,35.1506581,35.1517518
980409.8220214844,35.1507015,35.1517769
980509.8220214844,35.1507015,35.151802
980609.8220214844,35.150745,35.1518271
980709.8220214844,35.150745,35.1518523
980809.8220214844,35.150745,35.1518775
980909.8220214844,35.150745,35.1519027
981009.8220214844,35.1508318,35.1519251
981109.8220214844,35.1508318,35.1519501
981209.8220214844,35.150875,35.1519751
981309.8220214844,35.150875,35.1520001
981409.8220214844,35.1509182,35.1520225
981509.8220214844,35.1509182,35.1520475
981609.8220214844,35.1509615,35.1520699
981709.8220214844,35.1509615,35.152095
981809.8220214844,35.1509615,35.1521201
981909.8220214844,35.1510483,35.1521428
982009.8220214844,35.1510483,35.1521678
982109.8220214844,35.1510917,35.1521903
982209.8220214844,35.1510917,35.1522153
982309.8220214844,35.1510917,35.1522403
982409.8220214844,35.1511351,35.1522628
982509.8220214844,35.1511351,35.1522879
982609.8220214844,35.1511785,35.1523106
982709.8220214844,35.1511785,35.1523356
982809.8220214844,35.1511785,35.1523606
982909.8220214844,35.1512219,35.1523833
983009.8220214844,35.1512219,35.1524083
983109.8220214844,35.1513085,35.1524313
983209.8220214844,35.1513085,35.1524563
983309.8220214844,35.1513085,35.1524813
983409.8220214844,35.1513517,35.1525039
983509.8220214844,35.1513517,35.1525288
983609.8220214844,35.1513949,35.1525513
983709.8220214844,35.1513949,35.1525762
983809.8220214844,35.1513949,35.1526011
983909.8220214844,35.151438,35.1526236
984009.8220214844,35.151438,35.1526484
984109.8220214844,35.1515237,35.1526711
984209.8220214844,35.1515237,35.1526958
984309.8220214844,35.1515237,35.1527205
984409.8220214844,35.1515665,35.1527428
984509.8220214844,35.1515665,35.1527675
984609.8220214844,35.1516094,35.1527899
984709.8220214844,35.1516094,35.1528146
984809.8220214844,35.1516094,35.1528393
984909.8220214844,35.1516522,35.1528616
985009.8220214844,35.1516522,35.1528862
985109.8220214844,35.1517376,35.1529086
985209.8220214844,35.1517376,35.1529332
985309.8220214844,35.1517376,35.1529578
985409.8220214844,35.1517804,35.15298
985509.8220214844,35.1517804,35.1530047
985609.8220214844,35.1518231,35.1530269
985709.8220214844,35.1518231,35.1530516
985809.8220214844,35.1518231,35.1530763
985909.8220214844,35.1518659,35.1530985
986009.8220214844,35.1518659,35.1531231
986109.8220214844,35.1519511,35.1531447
986209.8220214844,35.1519511,35.1531693
986309.8220214844,35.1519511,35.1531939
986409.8220214844,35.1519938,35.1532157
986509.8220214844,35.1519938,35.1532403
986609.8220214844,35.1520365,35.153262
986709.8220214844,35.1520365,35.1532866
986809.8220214844,35.1520365,35.1533112
986909.8220214844,35.1520792,35.1533328
987009.8220214844,35.1520792,35.1533574
987109.8220214844,35.1521643,35.153379
987209.8220214844,35.1521643,35.1534035
987309.8220214844,35.1521643,35.153428
987409.8220214844,35.1522068,35.1534497
987509.8220214844,35.1522068,35.1534743
987609.8220214844,35.1522492,35.153496
987709.8220214844,35.1522492,35.1535205
987809.8220214844,35.1522916,35.1535421
987909.8220214844,35.1522916,35.1535665
988009.8220214844,35.1522916,35.1535909
988109.8220214844,35.1523763,35.1536124
988209.8220214844,35.1523763,35.1536369
988309.8220214844,35.1523763,35.1536614
988409.8220214844,35.1524187,35.1536831
988509.8220214844,35.1524187,35.1537075
988609.8220214844,35.1524611,35.1537291
988709.8220214844,35.1524611,35.1537536
988809.8220214844,35.1525036,35.1537752
988909.8220214844,35.1525036,35.1537996
989009.8220214844,35.152546,35.153821
989109.8220214844,35.152546,35.1538455
989209.8220214844,35.152546,35.15387
989309.8220214844,35.1526309,35.1538915
989409.8220214844,35.1526309,35.153916
989509.8220214844,35.1526734,35.1539376
989609.8220214844,35.1526734,35.1539622
989709.8220214844,35.1526734,35.1539868
989809.8220214844,35.1527161,35.1540085
